STORE,DAYPART,YEAR,MONTH,CUSTOMER_COUNT
5,B,2019,3,6372
5,B,2019,4,6023
5,B,2019,5,6322
5,B,2019,6,6292
5,D,2018,1,7326
5,D,2018,2,6600
5,D,2018,3,6894
5,D,2018,4,6953
5,D,2018,5,6666
5,D,2018,6,6656
5,D,2018,7,6682
5,D,2018,8,6726
5,D,2018,9,6927
5,D,2018,10,6995
5,D,2018,11,6570
5,D,2018,12,7119
5,D,2019,1,6385
5,D,2019,2,5532
5,D,2019,3,6126
5,D,2019,4,5708
5,D,2019,5,5730
5,D,2019,6,5829
5,L,2018,1,9869
5,L,2018,2,8934
5,L,2018,3,9089
5,L,2018,4,9025
5,L,2018,5,8960
5,L,2018,6,8801
5,L,2018,7,9178
5,L,2018,8,9123
5,L,2018,9,9236
5,L,2018,10,9601
5,L,2018,11,8972
5,L,2018,12,10162
5,L,2019,1,9105
5,L,2019,2,8224
5,L,2019,3,8678
5,L,2019,4,8081
5,L,2019,5,7821
5,L,2019,6,7699
6,B,2018,1,6993
6,B,2018,2,6713
6,B,2018,3,7396
6,B,2018,4,7531
6,B,2018,5,8028
6,B,2018,6,7986
6,B,2018,7,8613
6,B,2018,8,7537
6,B,2018,9,7112
6,B,2018,10,7421
6,B,2018,11,7281
6,B,2018,12,7490
6,B,2019,1,6579
6,B,2019,2,5817
6,B,2019,3,6836
6,B,2019,4,6597
6,B,2019,5,7054
6,B,2019,6,6921
6,D,2018,1,5989
6,D,2018,2,5300
6,D,2018,3,6173
6,D,2018,4,5886
6,D,2018,5,5850
6,D,2018,6,5693
6,D,2018,7,5968
6,D,2018,8,5982
6,D,2018,9,6403
6,D,2018,10,6592
6,D,2018,11,5850
6,D,2018,12,5975
6,D,2019,1,6302
6,D,2019,2,5320
6,D,2019,3,6145
6,D,2019,4,5840
6,D,2019,5,5950
6,D,2019,6,6151
6,L,2018,1,8442
6,L,2018,2,7561
6,L,2018,3,7819
6,L,2018,4,7707
6,L,2018,5,7498
6,L,2018,6,8027
6,L,2018,7,9344
6,L,2018,8,7870
6,L,2018,9,7836
6,L,2018,10,8547
6,L,2018,11,7386
6,L,2018,12,7928
6,L,2019,1,8074
6,L,2019,2,7242
6,L,2019,3,7560
6,L,2019,4,7525
6,L,2019,5,7165
6,L,2019,6,7839
7,B,2018,1,8499
7,B,2018,2,8152
7,B,2018,3,8735
7,B,2018,4,8970
7,B,2018,5,9383
7,B,2018,6,9224
7,B,2018,7,9689
7,B,2018,8,9422
7,B,2018,9,9192
7,B,2018,10,9234
7,B,2018,11,9306
7,B,2018,12,9779
7,B,2019,1,8549
7,B,2019,2,7783
7,B,2019,3,8832
7,B,2019,4,8789
7,B,2019,5,9356
7,B,2019,6,9348
7,D,2018,1,9880
7,D,2018,2,8873
7,D,2018,3,9467
7,D,2018,4,9306
7,D,2018,5,9759
7,D,2018,6,9377
7,D,2018,7,9236
7,D,2018,8,9970
7,D,2018,9,10552
7,D,2018,10,10905
7,D,2018,11,10145
7,D,2018,12,10856
7,D,2019,1,9913
7,D,2019,2,9060
7,D,2019,3,10455
7,D,2019,4,9571
7,D,2019,5,10304
7,D,2019,6,10628
7,L,2018,1,11364
7,L,2018,2,9773
7,L,2018,3,10356
7,L,2018,4,10620
7,L,2018,5,10367
7,L,2018,6,10241
7,L,2018,7,10639
7,L,2018,8,11194
7,L,2018,9,10779
7,L,2018,10,11195
7,L,2018,11,10676
7,L,2018,12,12235
7,L,2019,1,11580
7,L,2019,2,10133
7,L,2019,3,11103
7,L,2019,4,10608
7,L,2019,5,10721
7,L,2019,6,10840
8,B,2018,1,4292
8,B,2018,2,4055
8,B,2018,3,4537
8,B,2018,4,4999
8,B,2018,5,5327
8,B,2018,6,5547
8,B,2018,7,6161
8,B,2018,8,5586
8,B,2018,9,4792
